,wght_W_layer_0,wght_W_layer_1,wght_W_layer_2,wght_W_layer_3,wght_W_layer_4,wght_W_layer_5,wght_W_layer_6,wght_W_layer_7,wght_W_layer_8,wght_W_layer_9
wght_W_input_57,-0.09866518114136524,0.12469171786383092,0.14171070878229944,-0.14333115300476218,-0.09243997948045914,0.545392162958951,-0.04999908284874576,-0.27143425719433073,0.05484993374042968,-0.35661695450128567
wght_W_input_58,0.32139032260806444,-0.11107054943036014,0.18274207061356315,-0.08374821121118418,-1.2777328439128037,0.39832314091735954,-0.0800403340133175,0.29373808857976785,0.02429187888288805,0.29662035969016814
wght_W_input_59,-0.6187716952160958,0.3077594906653117,0.06883540845255842,-0.38781228294263803,0.014249585796055361,-0.12450750465914884,0.17746214303215954,0.15374945581397506,0.9345925047017433,0.09003110867893599
wght_W_input_60,0.3386824105574304,-0.18707724319080055,0.4914243916609372,-0.09786763217876067,-0.11401752650878799,-0.0341953144073987,-0.09994052181867852,-0.024108787506780652,-0.2653737620098373,0.17482745021319998
wght_W_input_61,0.4520574819872814,-0.5802280524631499,-0.4155690502173275,0.3738686330320869,-0.18923231772721932,-0.016138880277404323,-0.18414400986398705,-0.32453463044161573,-0.06142809360773829,0.43985091251772207
wght_W_input_62,0.5313469419805086,-0.023525724412257858,0.06226553558007303,-0.15870300404994878,-0.2070234730678677,-0.09580290989628584,-0.2164466916341044,-0.35841093819581493,0.5553826531069207,0.12129131539608815
wght_W_input_63,0.16302079151284815,-1.04238592907327,0.32889874404955316,-0.12254988842661772,-0.04431565312105121,0.08813578001548214,0.05170615199824013,-0.6837665268381381,0.5568116476787297,-0.21425296479623349
wght_W_input_64,-0.8587187020392248,-0.09278199828550976,0.16931395444617833,0.1951933040460238,0.36678558439129766,-0.2222830734957655,-0.37209339567280575,-0.006223671568847623,0.22887517478179778,-0.0014343281949801055
wght_W_input_65,-0.20761914712120605,-0.019282589727566402,-0.44280002178087885,0.22779388500224704,0.1903908191282492,-0.03543048586902825,-0.2903403485349978,0.33889998377609715,0.23373777507228874,-0.08593165304030043
wght_W_input_66,-0.08976944044533329,0.5958542919046862,0.7492134185150336,0.8913492983662743,-0.814856295138405,0.14267406196138183,-0.42071903896099166,0.811942731424242,0.0694104736945185,-1.329173992797841
